Rv0001	NP_214515.1
Rv1948c	NP_216464.1
Rv1950c	NP_216466.1
Rv1951c	NP_216467.1
Rv1952	NP_216468.1
Rv1953	NP_216469.1
Rv1954c	NP_216470.1
Rv1955	NP_216471.2
Rv1956	NP_216472.1
Rv1957	NP_216473.1
Rv1958c	NP_216474.1
Rv1959c	NP_216475.1
Rv1960c	NP_216476.1
Rv1961	NP_216477.1
Rv1962c	NP_216478.1
Rv1962A	YP_007410641.1
Rv1963c	NP_216479.1
Rv1964	NP_216480.1
Rv1965	NP_216481.1
Rv1966	YP_177852.1
Rv1967	NP_216483.1
Rv1968	NP_216484.1
Rv1969	NP_216485.1
Rv1970	NP_216486.1
Rv1971	NP_216487.1
Rv1972	NP_216488.1
Rv1973	NP_216489.1
Rv1974	NP_216490.1
Rv1975	NP_216491.1
Rv1976c	NP_216492.1
Rv1977	NP_216493.1
Rv1978	NP_216494.1
Rv1979c	NP_216495.2
Rv1980c	NP_216496.1
Rv1981c	YP_177853.1
Rv1982c	NP_216498.1
Rv1982A	YP_004837054.1
Rv1983	YP_177854.1
Rv1984c	NP_216500.1
RV1984a	YP_009030034.1
Rv1985c	NP_216501.1
Rv1986	NP_216502.1
Rv1987	NP_216503.1
Rv1988	NP_216504.1
Rv1989c	NP_216505.1
Rv1990c	NP_216506.1
Rv1991c	NP_216507.1
Rv1991A	YP_007410673.1
Rv1992c	NP_216508.1
Rv1993c	NP_216509.1
Rv1994c	NP_216510.1
Rv1995	NP_216511.1
Rv1996	NP_216512.1
Rv1997	NP_216513.1
Rv1998c	NP_216514.1
Rv1999c	NP_216515.1
Rv2000	NP_216516.1
Rv2001	NP_216517.1
Rv2002	NP_216518.1
Rv2003c	NP_216519.1
Rv2004c	NP_216520.1
Rv2005c	NP_216521.1
Rv2006	YP_177855.1
Rv2007c	NP_216523.1
Rv2008c	NP_216524.1
Rv2009	NP_216525.1
Rv2010	NP_216526.1
Rv2011c	NP_216527.1
Rv2012	NP_216528.1
Rv2015c	NP_216531.1
Rv2016	NP_216532.1
Rv2017	NP_216533.1
Rv2018	NP_216534.1
Rv2019	NP_216535.1
Rv2021c	NP_216537.1
Rv2022c	NP_216538.1
Rv2023c	NP_216539.1
Rv2024c	NP_216540.1
Rv2025c	NP_216541.1
Rv2026c	NP_216542.1
Rv2027c	NP_216543.1
Rv2028c	NP_216544.1
Rv2029c	NP_216545.1
Rv2030c	NP_216546.1
Rv2031c	NP_216547.1
Rv2032	NP_216548.1
Rv2033c	NP_216549.1
Rv2034	NP_216550.1
Rv2035	NP_216551.1
Rv2036	NP_216552.1
Rv2037c	NP_216553.1
Rv2038c	NP_216554.1
Rv2039c	NP_216555.1
Rv2040c	NP_216556.1
Rv2041c	NP_216557.1
Rv2042c	NP_216558.1
Rv2043c	NP_216559.1
Rv2044c	NP_216560.1
Rv2045c	NP_216561.1
Rv2046	NP_216562.1
Rv2047c	NP_216563.1
Rv2048c	NP_216564.2
Rv2049c	NP_216565.1
Rv2050	NP_216566.1
Rv2051c	NP_216567.1
Rv2052c	NP_216568.1
Rv2053c	NP_216569.1
Rv2054	NP_216570.1
Rv2055c	NP_216571.1
Rv2056c	NP_216572.1
Rv2057c	YP_177856.1
Rv2058c	NP_216574.1
Rv2059	NP_216575.1
Rv2060	NP_216576.1
Rv2061c	NP_216577.1
Rv2062c	NP_216578.1
Rv2063	YP_177657.1
Rv2063A	YP_004837055.2
Rv2064	NP_216580.1
Rv2065	NP_216581.1
Rv2066	NP_216582.1
Rv2067c	NP_216583.1
Rv2068c	NP_216584.1
Rv2069	NP_216585.1
Rv2070c	NP_216586.1
Rv2071c	NP_216587.1
Rv2072c	NP_216588.1
Rv2073c	NP_216589.1
Rv2074	NP_216590.1
Rv2075c	NP_216591.1
Rv2076c	NP_216592.1
Rv2077c	NP_216593.1
Rv2077A	YP_177658.1
Rv2078	NP_216594.1
Rv2079	NP_216595.1
Rv2080	NP_216596.1
Rv2081c	NP_216597.1
Rv2082	NP_216598.1
Rv2083	NP_216599.1
Rv2084	NP_216600.1
Rv2085	NP_216601.1
Rv2086	NP_216602.2
Rv2088	NP_216604.1
Rv2089c	NP_216605.1
Rv2090	NP_216606.1
Rv2091c	NP_216607.1
Rv2092c	NP_216608.1
Rv2093c	NP_216609.1
Rv2094c	NP_216610.1
Rv2095c	NP_216611.1
Rv2096c	NP_216612.1
Rv2097c	NP_216613.1
Rv2100	NP_216616.1
Rv2101	NP_216617.2
Rv2102	NP_216618.1
Rv2103c	NP_216619.1
Rv2104c	NP_216620.1
Rv2104a	YP_009030035.1
Rv2107	YP_177858.1
Rv2108	YP_177859.1
Rv2109c	NP_216625.1
Rv2110c	NP_216626.1
Rv2111c	NP_216627.1
Rv2112c	NP_216628.1
Rv2113	NP_216629.1
Rv2114	NP_216630.1
Rv2115c	NP_216631.1
Rv2116	NP_216632.1
Rv2117	NP_216633.1
Rv2118c	NP_216634.1
Rv2119	NP_216635.1
Rv2120c	NP_216636.1
Rv2121c	NP_216637.1
Rv2122c	YP_177860.1
Rv2123	YP_177861.1
Rv2124c	NP_216640.1
Rv2125	NP_216641.1
Rv2126c	YP_177862.1
Rv2127	YP_177863.1
Rv2128	NP_216644.1
Rv2129c	NP_216645.1
Rv2130c	NP_216646.1
Rv2131c	NP_216647.1
Rv2132	NP_216648.1
Rv2133c	NP_216649.1
Rv2134c	NP_216650.1
Rv2135c	NP_216651.1
Rv2136c	NP_216652.1
Rv2137c	NP_216653.1
Rv2138	NP_216654.1
Rv2139	NP_216655.1
Rv2140c	NP_216656.1
Rv2141c	YP_177864.1
Rv2142c	NP_216658.1
Rv2142A	YP_007410825.1
Rv2143	NP_216659.1
Rv2144c	NP_216660.1
Rv2145c	NP_216661.1
Rv2146c	NP_216662.1
Rv2147c	NP_216663.1
Rv2148c	NP_216664.1
Rv2149c	NP_216665.1
Rv2150c	NP_216666.1
Rv2151c	NP_216667.1
Rv2152c	NP_216668.1
Rv2153c	NP_216669.1
Rv2154c	NP_216670.1
Rv2155c	NP_216671.3
Rv2156c	NP_216672.1
Rv2157c	NP_216673.1
Rv2158c	NP_216674.1
Rv2159c	NP_216675.1
Rv2161c	NP_216677.1
Rv2162c	YP_177865.1
Rv2163c	NP_216679.1
Rv2164c	NP_216680.1
Rv2165c	NP_216681.4
Rv2166c	NP_216682.1
Rv2169c	NP_216685.1
Rv2170	NP_216686.1
Rv2171	NP_216687.1
Rv2172c	NP_216688.1
Rv2173	NP_216689.1
Rv2174	NP_216690.1
Rv2175c	NP_216691.1
Rv2176	NP_216692.1
Rv2177c	NP_216693.1
Rv2178c	NP_216694.1
Rv2179c	NP_216695.1
Rv2180c	NP_216696.1
Rv2181	NP_216697.1
Rv2182c	NP_216698.1
Rv2183c	NP_216699.1
Rv2184c	NP_216700.1
Rv2185c	NP_216701.1
Rv2186c	NP_216702.1
Rv2187	NP_216703.1
Rv2188c	NP_216704.2
Rv2189c	NP_216705.1
Rv2190c	NP_216706.1
Rv2191	NP_216707.1
Rv2192c	NP_216708.1
Rv2193	NP_216709.1
Rv2194	NP_216710.1
Rv2195	NP_216711.1
Rv2196	NP_216712.1
Rv2197c	NP_216713.1
Rv2198c	NP_216714.1
Rv2199c	NP_216715.1
Rv2200c	NP_216716.1
Rv2201	NP_216717.1
Rv2202c	NP_216718.1
Rv2203	NP_216719.1
Rv2204c	NP_216720.1
Rv2205c	NP_216721.2
Rv2206	NP_216722.2
Rv2207	NP_216723.1
Rv2208	NP_216724.1
Rv2209	NP_216725.1
Rv2210c	NP_216726.1
Rv2211c	NP_216727.1
Rv2212	NP_216728.1
Rv2213	NP_216729.1
Rv2214c	NP_216730.1
Rv2215	NP_216731.1
Rv2216	NP_216732.1
Rv2217	NP_216733.1
Rv2218	NP_216734.1
Rv2219	NP_216735.1
Rv2219A	YP_177661.1
Rv2220	NP_216736.1
Rv2221c	NP_216737.1
Rv2222c	NP_216738.1
Rv2223c	NP_216739.1
Rv2224c	NP_216740.1
Rv2224d	YP_009030036.1
Rv2225	NP_216741.1
Rv2226	NP_216742.1
Rv2227	NP_216743.1
Rv2228c	NP_216744.1
Rv2229c	NP_216745.1
Rv2230c	NP_216746.1
Rv2231c	NP_216747.1
Rv2231A	YP_007410917.1
Rv2231B	YP_007410918.1
Rv2232	NP_216748.2
Rv2234	NP_216750.1
Rv2235	NP_216751.1
Rv2236c	NP_216752.1
Rv2237	NP_216753.1
Rv2237A	YP_004837056.2
Rv2238c	NP_216754.1
Rv2239c	NP_216755.1
Rv2240c	NP_216756.2
Rv2241	NP_216757.3
Rv2242	NP_216758.1
Rv2243	NP_216759.1
Rv2244	NP_216760.1
Rv2245	NP_216761.1
Rv2246	NP_216762.1
Rv2247	NP_216763.1
Rv2248	NP_216764.1
Rv2249c	NP_216765.1
Rv2250c	NP_216766.2
Rv2251	NP_216767.1
Rv2252	NP_216768.1
Rv2253	NP_216769.1
Rv2254c	NP_216770.1
Rv2256a	YP_009030037.1
Rv2256c	NP_216772.1
Rv2257c	NP_216773.1
Rv2258c	NP_216774.1
Rv2259	NP_216775.1
Rv2260	NP_216776.1
Rv2263	NP_216779.1
Rv2264c	NP_216780.1
Rv2265	NP_216781.1
Rv2266	NP_216782.1
Rv2267c	NP_216783.1
Rv2268c	NP_216784.1
Rv2269c	NP_216785.1
Rv2270	NP_216786.1
Rv2271	NP_216787.1
Rv2272	NP_216788.1
Rv2273	NP_216789.1
Rv2274c	NP_216790.1
Rv2274A	YP_007410963.1
Rv2275	NP_216791.1
Rv2276	NP_216792.1
Rv2277c	NP_216793.1
Rv2281	NP_216797.1
Rv2282c	NP_216798.1
Rv2283	NP_216799.1
Rv2284	NP_216800.1
Rv2285	NP_216801.1
Rv2286c	NP_216802.1
Rv2287	NP_216803.1
Rv2288	NP_216804.1
Rv2289	NP_216805.1
Rv2290	NP_216806.1
Rv2291	NP_216807.1
Rv2292c	NP_216808.1
Rv2293c	NP_216809.1
Rv2294	NP_216810.1
Rv2295	NP_216811.1
Rv2296	NP_216812.1
Rv2297	NP_216813.1
Rv2298	NP_216814.1
Rv2299c	NP_216815.1
Rv2300c	NP_216816.1
Rv2301	NP_216817.2
Rv2302	NP_216818.1
Rv2303c	NP_216819.1
Rv2304c	NP_216820.1
Rv2305	NP_216821.1
Rv2307c	NP_216823.1
Rv2307A	YP_177665.1
Rv2307B	YP_177666.1
Rv2307D	YP_177667.1
Rv2308	NP_216824.1
Rv2308a	YP_009030038.1
Rv2309A	YP_177668.1
Rv2310	NP_216826.1
Rv2311	NP_216827.1
Rv2312	NP_216828.1
Rv2313c	NP_216829.1
Rv2314c	NP_216830.1
Rv2315c	NP_216831.1
Rv2316	NP_216832.1
Rv2317	YP_177866.1
Rv2318	NP_216834.1
Rv2319c	NP_216835.1
Rv2320c	NP_216836.1
Rv2323c	NP_216839.1
Rv2324	NP_216840.1
Rv2325c	NP_216841.1
Rv2326c	NP_216842.1
Rv2327	NP_216843.1
Rv2328	YP_177867.1
Rv2329c	NP_216845.1
Rv2330c	NP_216846.1
Rv2331	NP_216847.1
Rv2331A	YP_177669.1
Rv2332	NP_216848.2
Rv2333c	NP_216849.1
Rv2334	YP_177868.1
Rv2335	NP_216851.1
Rv2336	NP_216852.1
Rv2337c	NP_216853.1
Rv2338c	NP_216854.1
Rv2339	NP_216855.1
Rv2340c	YP_177869.1
Rv2341	NP_216857.1
Rv2342	NP_216858.1
Rv2343c	NP_216859.1
Rv2344c	NP_216860.1
Rv2345	NP_216861.1
Rv2346c	NP_216862.1
Rv2347c	NP_216863.1
Rv2348c	NP_216864.1
Rv2349c	NP_216865.1
Rv2350c	NP_216866.1
Rv2351c	NP_216867.1
Rv2352c	YP_177870.1
Rv2353c	YP_177871.1
Rv2357c	NP_216873.1
Rv2358	NP_216874.1
Rv2359	NP_216875.1
Rv2360c	NP_216876.1
Rv2361c	NP_216877.1
Rv2362c	NP_216878.1
Rv2363	NP_216879.1
Rv2364c	YP_177873.1
Rv2365c	NP_216881.1
Rv2366c	NP_216882.1
Rv2367c	NP_216883.1
Rv2368c	YP_177874.1
Rv2369c	NP_216885.1
Rv2370c	NP_216886.1
Rv2371	YP_177875.1
Rv2372c	NP_216888.1
Rv2373c	NP_216889.1
Rv2374c	NP_216890.1
Rv2375	NP_216891.1
Rv2376c	NP_216892.1
Rv2377c	NP_216893.1
Rv2378c	NP_216894.1
Rv2379c	NP_216895.1
Rv2380c	NP_216896.3
Rv2381c	NP_216897.1
Rv2382c	NP_216898.1
Rv2383c	NP_216899.1
Rv2384	NP_216900.1
Rv2385	YP_177876.1
Rv2386c	YP_177877.1
Rv2386a	YP_009030039.1
Rv2387	NP_216903.1
Rv2388c	NP_216904.1
Rv2389c	NP_216905.1
Rv2390c	NP_216906.1
Rv2391	NP_216907.1
Rv2392	NP_216908.1
Rv2393	NP_216909.1
Rv2394	NP_216910.1
Rv2395	NP_216911.1
Rv2395A	YP_007411091.1
Rv2395B	YP_007411092.1
Rv2396	YP_177878.1
Rv2397c	YP_177879.1
Rv2398c	NP_216914.1
Rv2399c	NP_216915.1
Rv2400c	NP_216916.1
Rv2401	NP_216917.2
Rv2401A	YP_177670.1
Rv2402	NP_216918.3
Rv2403c	NP_216919.1
Rv2404c	NP_216920.1
Rv2405	NP_216921.1
Rv2406c	NP_216922.1
Rv2407	NP_216923.1
Rv2408	YP_177880.2
Rv2409c	NP_216925.1
Rv2410c	NP_216926.1
Rv2411c	NP_216927.1
Rv2412	NP_216928.1
Rv2413c	NP_216929.3
Rv2414c	NP_216930.1
Rv2415c	NP_216931.1
Rv2416c	NP_216932.2
Rv2417c	NP_216933.1
Rv2418c	NP_216934.1
Rv2419c	NP_216935.1
Rv2420c	NP_216936.1
Rv2421c	NP_216937.1
Rv2422	NP_216938.1
Rv2423	NP_216939.1
Rv2424c	NP_216940.1
Rv2425c	NP_216941.1
Rv2426c	NP_216942.1
Rv2427c	NP_216943.1
Rv2428	NP_216944.1
Rv2429	NP_216945.1
Rv2430c	YP_177881.1
Rv2431c	YP_177882.1
Rv2432c	NP_216948.1
Rv2433c	NP_216949.1
Rv2434c	NP_216950.1
Rv2435c	NP_216951.1
Rv2436	NP_216952.1
Rv2437	NP_216953.1
Rv2438c	NP_216954.2
Rv2438A	YP_177671.1
Rv2439c	NP_216955.1
Rv2440c	NP_216956.1
Rv2441c	NP_216957.1
Rv2442c	NP_216958.1
Rv2443	NP_216959.1
Rv2444c	NP_216960.1
Rv2445c	NP_216961.1
Rv2446c	NP_216962.1
Rv2447c	NP_216963.1
Rv2448c	NP_216964.1
Rv2449c	NP_216965.1
Rv2450c	NP_216966.1
Rv2451	NP_216967.1
Rv2452c	NP_216968.1
Rv2453c	NP_216969.1
Rv2454c	NP_216970.1
Rv2455c	NP_216971.1
Rv2456c	NP_216972.1
Rv2457c	NP_216973.1
Rv2458	NP_216974.1
Rv2459	NP_216975.1
Rv2460c	NP_216976.1
Rv2461c	YP_177883.1
Rv2462c	NP_216978.1
Rv2463	NP_216979.1
Rv2464c	NP_216980.1
Rv2465c	YP_177884.1
Rv2466c	NP_216982.1
Rv2467	YP_177885.1
Rv2468c	NP_216984.1
Rv2468A	YP_007411168.1
Rv2469c	NP_216985.1
Rv2470	NP_216986.1
Rv2471	NP_216987.1
Rv2472	NP_216988.1
Rv2473	NP_216989.1
Rv2474c	NP_216990.1
Rv2475c	NP_216991.1
Rv2476c	NP_216992.1
Rv2477c	NP_216993.1
Rv2478c	NP_216994.1
Rv2481c	NP_216997.1
Rv2482c	NP_216998.1
Rv2483c	NP_216999.1
Rv2484c	NP_217000.1
Rv2485c	NP_217001.1
Rv2486	NP_217002.1
Rv2487c	YP_177886.1
Rv2488c	NP_217004.1
Rv2489c	NP_217005.1
Rv2490c	YP_177887.1
Rv2490a	YP_009030040.1
Rv2491	NP_217007.1
Rv2492	NP_217008.1
Rv2493	NP_217009.1
Rv2494	NP_217010.1
Rv2495c	NP_217011.1
Rv2496c	NP_217012.1
Rv2497c	NP_217013.1
Rv2498c	NP_217014.1
Rv2499c	NP_217015.1
Rv2500c	NP_217016.1
Rv2501c	NP_217017.1
Rv2502c	NP_217018.1
Rv2503c	NP_217019.1
Rv2504c	NP_217020.1
Rv2505c	NP_217021.1
Rv2506	NP_217022.1
Rv2507	NP_217023.1
Rv2508c	NP_217024.1
Rv2509	NP_217025.1
Rv2510c	NP_217026.1
Rv2511	NP_217027.1
Rv2512c	NP_217028.1
Rv2512a	YP_009030041.1
Rv2513	NP_217029.1
Rv2514c	NP_217030.1
Rv2515c	NP_217031.1
Rv2516c	NP_217032.2
Rv2517c	NP_217033.1
Rv2518c	NP_217034.1
Rv2519	YP_177888.1
Rv2520c	NP_217036.1
Rv2521	NP_217037.1
Rv2522c	NP_217038.1
Rv2523c	NP_217039.1
Rv2524c	NP_217040.1
Rv2525c	NP_217041.1
Rv2526	NP_217042.1
Rv2527	NP_217043.1
Rv2528c	NP_217044.1
Rv2529	NP_217045.1
Rv2530c	NP_217046.1
Rv2530A	YP_177672.1
Rv2531c	YP_177889.1
Rv2532c	NP_217048.1
Rv2533c	NP_217049.1
Rv2534c	NP_217050.1
Rv2535c	NP_217051.1
Rv2536	NP_217052.1
Rv2537c	NP_217053.1
Rv2538c	NP_217054.1
Rv2539c	NP_217055.1
Rv2540c	NP_217056.1
Rv2541	NP_217057.1
Rv2542	NP_217058.1
Rv2543	NP_217059.1
Rv2544	NP_217060.1
Rv2545	NP_217061.1
Rv2546	NP_217062.1
Rv2547	NP_217063.1
Rv2548	NP_217064.1
Rv2548A	YP_004837057.1
Rv2549c	NP_217065.1
Rv2550c	NP_217066.1
Rv2551c	NP_217067.1
Rv2552c	NP_217068.1
Rv2553c	NP_217069.1
Rv2554c	NP_217070.1
Rv2555c	NP_217071.1
Rv2556c	NP_217072.1
Rv2557	NP_217073.1
Rv2558	NP_217074.1
Rv2559c	NP_217075.1
Rv2560	NP_217076.1
Rv2563	NP_217079.1
Rv2564	NP_217080.1
Rv2565	NP_217081.1
Rv2566	NP_217082.1
Rv2567	NP_217083.1
Rv2568c	NP_217084.1
Rv2569c	NP_217085.1
Rv2570	NP_217086.1
Rv2571c	NP_217087.1
Rv2572c	NP_217088.1
Rv2573	NP_217089.3
Rv2574	NP_217090.1
Rv2575	NP_217091.1
Rv2576c	NP_217092.1
Rv2577	NP_217093.1
Rv2578c	NP_217094.1
Rv2579	YP_177890.1
Rv2580c	NP_217096.1
Rv2581c	NP_217097.1
Rv2582	NP_217098.1
Rv2583c	NP_217099.1
Rv2584c	NP_217100.1
Rv2585c	NP_217101.1
Rv2586c	NP_217102.1
Rv2587c	NP_217103.1
Rv2588c	NP_217104.1
Rv2589	NP_217105.1
Rv2590	NP_217106.1
Rv2591	YP_177891.1
Rv2592c	NP_217108.1
Rv2593c	NP_217109.1
Rv2594c	NP_217110.1
Rv2595	NP_217111.1
Rv2596	NP_217112.1
Rv2597	NP_217113.1
Rv2598	NP_217114.1
Rv2599	NP_217115.1
Rv2600	NP_217116.1
Rv2601	YP_177892.1
Rv2601A	YP_177673.1
Rv2602	NP_217118.1
Rv2603c	NP_217119.1
Rv2604c	NP_217120.1
Rv2605c	NP_217121.1
Rv2606c	NP_217122.1
Rv2607	NP_217123.1
Rv2608	YP_177893.1
Rv2609c	NP_217125.1
Rv2610c	NP_217126.1
Rv2611c	NP_217127.1
Rv2612c	YP_177894.1
Rv2613c	NP_217129.1
Rv2614c	NP_217130.1
Rv2614A	YP_177674.1
Rv2615c	YP_177895.1
Rv2616	NP_217132.1
Rv2617c	NP_217133.1
Rv2618	NP_217134.1
Rv2619c	NP_217135.1
Rv2620c	NP_217136.1
Rv2621c	NP_217137.1
Rv2622	NP_217138.1
Rv2623	NP_217139.1
Rv2624c	NP_217140.1
Rv2625c	NP_217141.1
Rv2626c	NP_217142.1
Rv2627c	NP_217143.1
Rv2628	NP_217144.1
Rv2629	NP_217145.1
Rv2630	NP_217146.1
Rv2631	NP_217147.2
Rv2632c	NP_217148.1
Rv2633c	NP_217149.1
Rv2634c	YP_177896.1
Rv2635	NP_217151.1
Rv2636	NP_217152.1
Rv2637	NP_217153.1
Rv2638	NP_217154.1
Rv2639c	NP_217155.1
Rv2640c	NP_217156.1
Rv2641	NP_217157.1
Rv2642	NP_217158.1
Rv2643	NP_217159.1
Rv2644c	NP_217160.1
Rv2645	NP_217161.1
Rv2646	NP_217162.1
Rv2647	NP_217163.2
Rv2650c	NP_217166.1
Rv2651c	NP_217167.1
Rv2652c	NP_217168.1
Rv2653c	NP_217169.1
Rv2654c	NP_217170.1
Rv2655c	NP_217171.1
Rv2656c	NP_217172.1
Rv2657c	NP_217173.1
Rv2658c	NP_217174.1
Rv2659c	NP_217175.1
Rv2660c	NP_217176.1
Rv2661c	NP_217177.1
Rv2662	NP_217178.1
Rv2663	NP_217179.1
Rv2664	NP_217180.1
Rv2665	NP_217181.1
Rv2667	YP_177897.1
Rv2668	NP_217184.1
Rv2669	NP_217185.1
Rv2670c	NP_217186.1
Rv2671	NP_217187.1
Rv2672	NP_217188.1
Rv2673	NP_217189.1
Rv2674	NP_217190.1
Rv2675c	NP_217191.1
Rv2676c	NP_217192.1
Rv2677c	YP_177675.1
Rv2678c	NP_217194.1
Rv2679	NP_217195.1
Rv2680	NP_217196.1
Rv2681	NP_217197.1
Rv2682c	YP_177898.1
Rv2683	NP_217199.1
Rv2684	NP_217200.1
Rv2685	YP_177899.1
Rv2686c	NP_217202.1
Rv2687c	NP_217203.1
Rv2688c	NP_217204.1
Rv2689c	NP_217205.1
Rv2690c	NP_217206.1
Rv2691	YP_177900.1
Rv2692	YP_177901.1
Rv2693c	NP_217209.1
Rv2694c	NP_217210.1
Rv2695	NP_217211.1
Rv2696c	NP_217212.1
Rv2697c	NP_217213.1
Rv2698	NP_217214.1
Rv2699c	NP_217215.1
Rv2700	NP_217216.1
Rv2701c	NP_217217.1
Rv2702	NP_217218.1
Rv2703	NP_217219.1
Rv2704	NP_217220.1
Rv2705c	NP_217221.1
Rv2706c	NP_217222.1
Rv2707	NP_217223.1
Rv2708c	NP_217224.1
Rv2709	NP_217225.1
Rv2710	NP_217226.1
Rv2711	NP_217227.1
Rv2712c	NP_217228.1
Rv2713	NP_217229.1
Rv2714	NP_217230.1
Rv2715	NP_217231.1
Rv2716	NP_217232.1
Rv2717c	NP_217233.1
Rv2718c	NP_217234.1
Rv2719c	NP_217235.1
Rv2720	NP_217236.2
Rv2721c	NP_217237.1
Rv2722	NP_217238.1
Rv2723	NP_217239.1
Rv2724c	NP_217240.1
Rv2725c	NP_217241.1
Rv2726c	NP_217242.1
Rv2727c	NP_217243.1
Rv2728c	NP_217244.1
Rv2729c	NP_217245.1
Rv2730	NP_217246.1
Rv2731	NP_217247.1
Rv2732c	NP_217248.1
Rv2733c	NP_217249.1
Rv2734	NP_217250.1
Rv2735c	NP_217251.1
Rv2736c	NP_217252.1
Rv2737c	NP_217253.1
Rv2738c	NP_217254.1
Rv2739c	NP_217255.1
Rv2740	NP_217256.1
Rv2741	YP_177902.1
Rv2742c	NP_217258.1
Rv2743c	NP_217259.1
Rv2744c	YP_177903.1
Rv2745c	NP_217261.1
Rv2746c	NP_217262.1
Rv2747	NP_217263.1
Rv2748c	NP_217264.1
Rv2749	NP_217265.1
Rv2750	NP_217266.1
Rv2751	NP_217267.1
Rv2752c	NP_217268.1
Rv2753c	NP_217269.1
Rv2754c	NP_217270.1
Rv2756c	NP_217272.1
Rv2757c	NP_217273.1
Rv2758c	NP_217274.1
Rv2759c	NP_217275.1
Rv2760c	NP_217276.1
Rv2761c	NP_217277.1
Rv2762c	NP_217278.1
Rv2763c	NP_217279.1
Rv2764c	NP_217280.1
Rv2765	NP_217281.1
Rv2766c	YP_177905.1
Rv2767c	NP_217283.1
Rv2768c	YP_177906.1
Rv2769c	YP_177907.1
Rv2770c	YP_177677.1
Rv2771c	NP_217287.1
Rv2772c	NP_217288.1
Rv2773c	NP_217289.1
Rv2774c	NP_217290.1
Rv2775	NP_217291.3
Rv2776c	NP_217292.1
Rv2777c	NP_217293.1
Rv2778c	NP_217294.1
Rv2779c	NP_217295.2
Rv2780	NP_217296.1
Rv2781c	NP_217297.1
Rv2782c	NP_217298.1
Rv2783c	NP_217299.1
Rv2784c	NP_217300.1
Rv2785c	NP_217301.1
Rv2786c	NP_217302.1
Rv2787	NP_217303.1
Rv2788	NP_217304.1
Rv2789c	NP_217305.1
Rv2790c	NP_217306.3
Rv2791c	NP_217307.1
Rv2792c	NP_217308.1
Rv2793c	NP_217309.1
Rv2794c	NP_217310.1
Rv2795c	NP_217311.1
Rv2796c	NP_217312.1
Rv2797c	NP_217313.1
Rv2798c	NP_217314.1
Rv2799	NP_217315.1
Rv2800	NP_217316.1
Rv2801c	NP_217317.1
Rv2801A	YP_007411507.1
Rv2802c	NP_217318.1
Rv2803	YP_177678.1
Rv2804c	NP_217320.1
Rv2805	NP_217321.1
Rv2806	NP_217322.1
Rv2807	NP_217323.1
Rv2808	NP_217324.1
Rv2809	NP_217325.1
Rv2811	NP_217327.1
Rv2812	NP_217328.1
Rv2813	NP_217329.1
Rv2816c	NP_217332.1
Rv2817c	NP_217333.1
Rv2818c	NP_217334.1
Rv2819c	NP_217335.1
Rv2820c	NP_217336.1
Rv2821c	NP_217337.1
Rv2822c	NP_217338.1
Rv2823c	NP_217339.1
Rv2824c	NP_217340.1
Rv2825c	NP_217341.1
Rv2826c	NP_217342.1
Rv2827c	NP_217343.1
Rv2828c	NP_217344.1
Rv2828A	YP_007411535.1
Rv2829c	NP_217345.1
Rv2830c	NP_217346.1
Rv2831	NP_217347.1
Rv2832c	NP_217348.1
Rv2833c	NP_217349.1
Rv2834c	NP_217350.1
Rv2835c	NP_217351.1
Rv2836c	NP_217352.1
Rv2837c	NP_217353.1
Rv2838c	NP_217354.1
Rv2839c	NP_217355.1
Rv2840c	NP_217356.3
Rv2841c	NP_217357.1
Rv2842c	NP_217358.1
Rv2843	NP_217359.1
Rv2844	NP_217360.1
Rv2845c	NP_217361.1
Rv2846c	NP_217362.1
Rv2847c	NP_215025.2
Rv2848c	NP_217364.1
Rv2849c	YP_177908.1
Rv2850c	NP_217366.1
Rv2851c	NP_217367.1
Rv2852c	NP_217368.1
Rv2853	YP_177909.1
Rv2854	NP_217370.1
Rv2855	YP_177910.1
Rv2856	NP_217372.1
Rv2857c	NP_217373.1
Rv2858c	NP_217374.1
Rv2859c	NP_217375.1
Rv2860c	NP_217376.1
Rv2861c	YP_177911.1
Rv2862c	NP_217378.1
Rv2862A	YP_007411570.1
Rv2863	NP_217379.1
Rv2864c	NP_217380.1
Rv2865	NP_217381.1
Rv2866	NP_217382.1
Rv2867c	NP_217383.1
Rv2868c	NP_217384.1
Rv2869c	NP_217385.1
Rv2870c	NP_217386.2
Rv2871	NP_217387.1
Rv2872	NP_217388.1
Rv2873	NP_217389.1
Rv2874	NP_217390.1
Rv2875	NP_217391.1
Rv2876	NP_217392.1
Rv2877c	YP_177912.1
Rv2878c	NP_217394.1
Rv2881c	NP_217397.1
Rv2882c	NP_217398.1
Rv2883c	NP_217399.1
Rv2884	NP_217400.1
Rv2885c	NP_217401.1
Rv2886c	NP_217402.1
Rv2887	NP_217403.1
Rv2888c	NP_217404.1
Rv2889c	NP_217405.1
Rv2890c	NP_217406.1
Rv2891	NP_217407.1
Rv2892c	YP_177913.1
Rv2893	NP_217409.1
Rv2894c	NP_217410.1
Rv2895c	NP_217411.1
Rv2896c	NP_217412.2
Rv2897c	NP_217413.1
Rv2898c	NP_217414.1
Rv2899c	NP_217415.1
Rv2900c	NP_217416.1
Rv2901c	NP_217417.1
Rv2902c	NP_217418.1
Rv2903c	NP_217419.1
Rv2904c	NP_217420.1
